Ref,Val,Package,PosX,PosY,Rot,Side
"C1","20pF","C_0805",102.616000,-122.428000,90.000000,top
"C2","20pF","C_0805",90.424000,-122.428000,270.000000,top
"C3","100nF","C_0805",85.344000,-75.184000,90.000000,top
"C4","10uF","C_0805",85.344000,-78.740000,270.000000,top
"C5","100nF","C_0805",87.884000,-122.428000,270.000000,top
"C6","100nF","C_0805",108.902000,-79.311500,270.000000,top
"C7","10uF","C_0805",99.568000,-120.396000,180.000000,top
"C8","10uF","C_0805",95.504000,-118.872000,0.000000,top
"C9","4.7uF","C_0805",104.330000,-125.666000,180.000000,top
"C10","4.7uF","C_0805",107.061000,-114.935000,90.000000,top
"D1","WS2812B","LED_WS2812B-PLCC4",93.980000,-107.950000,90.000000,top
"D2","BAT54C","SOT-23",106.426000,-118.554000,0.000000,top
"D3","Charge","LED_0805_HandSoldering",89.281000,-125.666000,180.000000,top
"J1","USB_B_Mini","USB_Micro-B_HandSoldering",96.520000,-125.476000,0.000000,top
"R1","0R","R_0805",102.616000,-118.872000,90.000000,top
"R2","0R","R_0805",92.456000,-118.872000,270.000000,top
"R3","10k","R_0805",95.250000,-114.300000,90.000000,top
"R4","0R","R_0805",92.456000,-114.300000,270.000000,top
"R5","470","R_0805",89.662000,-105.918000,90.000000,top
"R6","2k","R_0805",104.584000,-105.283000,90.000000,top
"R7","470R","R_0805",85.534500,-122.809000,270.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",87.630000,-116.840000,90.000000,top
"SW2","Boot","SW_SPDT_PCM12",85.915500,-109.284000,270.000000,top
"U1","AP1117-33","SOT-223-3_TabPin2",101.600000,-111.760000,90.000000,top
"U3","MCP73831-2-OT","SOT-23-5_HandSoldering",106.299000,-122.364000,0.000000,top
